id	identifier	zh_name	en_name	category	cost	short_effect	zh_effect
431	member-card	会员卡	Member Card	Event items	0	Allows access to Newmoon Island and Darkrai.	可以进入水脉市旅馆的卡片。 不知为何，上面刻有 ５０年前左右的日期。
432	azure-flute	天界之笛	Azure Flute	Event items	0	Allows entry into the Hall of Origin. Unreleased.	能发出响彻云霄的天籁之音的笛子。 不知道是谁在什么时候制造的它。
433	ss-ticket	船票	S.S. Ticket	Plot advancement	0	Ticket for a ship. (RSE: S.S. Tidal LF: S.S. Anne HG: S.S. Aqua)	乘坐高速船水流号时所需的船票。 上面绘有船的图案。
434	contest-pass	华丽大赛参加证	Contest Pass	Gameplay	0	Allows participation in Pokémon Contests.	拿着它就可以参加宝可梦华丽大赛。 上面印有纪念奖章。
435	magma-stone	火山镇石	Magma Stone	Plot advancement	0	Magma is sealed inside.	被灼热熔岩熔化的岩石 凝固后形成的产物。 里面还留有熔岩。
436	parcel	包裹	Parcel	Plot advancement	0	Given to the trainer’s rival in Jubilife City. Contains Town Maps.	这是别人托付给你的包裹。 需要将它交给从双叶镇启程 踏上旅途的青梅竹马。
437	coupon-1	兑换券１	Coupon 1	Plot advancement	0	The first of three tickets used to obtain a Pokétch.	获取宝可梦手表，简称宝可表时 所需的兑换券。需要３张。
438	coupon-2	兑换券２	Coupon 2	Plot advancement	0	The second of three tickets used to obtain a Pokétch.	获取宝可梦手表，简称宝可表时 所需的兑换券。需要３张。
439	coupon-3	兑换券３	Coupon 3	Plot advancement	0	The last of three tickets used to obtain a Pokétch.	获取宝可梦手表，简称宝可表时 所需的兑换券。需要３张。
440	storage-key	仓库钥匙	Storage Key	Plot advancement	0	Grants access to the Team Galactic warehouse in Veilstone City.	用于进入银河队在帷幕市市郊的 可疑仓库的钥匙。
441	secret-potion	秘传之药	Secret Potion	Plot advancement	0	Used to heal the Ampharos at the top of Olivine Lighthouse.	在湛蓝市的药店里得到的， 能让任何宝可梦立刻变得 精力充沛的高效药。
442	griseous-orb	白金宝珠	Griseous Orb	Species-specific	0	Boosts the damage from Giratina’s Dragon-type and Ghost-type moves by 20%, and transforms it into Origin Forme.	让骑拉帝纳携带的话， 龙和幽灵属性的招式威力就会提高。 散发着光辉的宝珠。
443	vs-recorder	对战记录器	Vs. Recorder	Gameplay	0	Records wireless, Wi-Fi, or Battle Frontier battles, and stores points.	很酷的机器。 可以记录和朋友或 在特殊设施里的对战过程。
444	gracidea	葛拉西蒂亚花	Gracidea	Event items	0	Changes an unfrozen Shaymin to Sky Forme in the day.	在生日或纪念日等日子里， 为了表达感激之情， 有时会将其扎成花束送出。
445	secret-key	秘密钥匙	Secret Key	Event items	0	Gen IV: The key to Rotom’s appliance room. Gen III: The key to Cinnabar Gym.	在特定的地方使用， 就会发出特殊电信号 来开门的高科技钥匙。
446	apricorn-box	球果盒	Apricorn Box	Gameplay	0	Holds Apricorns.	使用方便，可以保存 ９９个球果的容器。
447	berry-pots	树果种植盆	Berry Pots	Gameplay	0	Allows portable berry growing.	可以随时轻松培育树果的 便携式栽培容器。
448	squirt-bottle	杰尼龟喷壶	Squirt Bottle	Plot advancement	0	Use on Sudowoodo blocking the path on Route 36. Also waters berries.	浇水的道具。 能让树果种植盆里的 树果快快长大。
449	lure-ball	诱饵球	Lure Ball	Apricorn balls	0	3× effectiveness while fishing. Made from Blu Apricorn.	有点与众不同的球。 能很容易地捕捉 用钓竿钓上来的宝可梦。
450	level-ball	等级球	Level Ball	Apricorn balls	0	Success rate based off of fraction target Pokémon is of user’s Pokémon. Made from Red Apricorn.	有点与众不同的球。 要捕捉的宝可梦比自己宝可梦的 等级越低，就会越容易捕捉。
451	moon-ball	月亮球	Moon Ball	Apricorn balls	0	4× effectiveness on familes of Pokémon with a Moon Stone evolution. Made from Ylw Apricorn.	有点与众不同的球。 能很容易地捕捉 使用月之石进化的宝可梦。
452	heavy-ball	沉重球	Heavy Ball	Apricorn balls	0	Has flat bonus or penalty to catch rate depending on weight class of target. Made from Blk Apricorn.	有点与众不同的球。 能很容易地捕捉 身体沉重的宝可梦。
453	fast-ball	速度球	Fast Ball	Apricorn balls	0	4× effectiveness on Pokémon with 100 or greater base speed. (Gen II: Roaming or Fleeing Pokémon). Made from Wht Apricorn.	有点与众不同的球。 能很容易地捕捉 逃跑速度很快的宝可梦。
454	friend-ball	友友球	Friend Ball	Apricorn balls	0	Caught Pokémon start with 200 happiness. Made from Grn Apricorn.	有点与众不同的球。 捉到的野生宝可梦会立刻 变得和训练家亲密起来。
455	love-ball	甜蜜球	Love Ball	Apricorn balls	0	8× effectiveness on opposite sex, same species targets of the Active Pokémon. Made from Pnk Apricorn.	有点与众不同的球。 能很容易地捕捉 和自己宝可梦性别不同的宝可梦。
456	park-ball	公园球	Park Ball	Standard balls	0	Catches Pokémon in the Pal Park every time.	在伙伴公园里使用的 特殊的球。
457	sport-ball	竞赛球	Sport Ball	Standard balls	300	Tries to catch a Pokémon in the Bug-Catching contest in National Park. (Gen II: Park Ball)	曽在城都地区的捕虫大赛上使用的 特殊的球。
458	red-apricorn	红球果	Red Apricorn	Apricorn box	200	Used to make a Level Ball.	红色的球果。 有种刺鼻的气味。
459	blue-apricorn	蓝球果	Blue Apricorn	Apricorn box	200	Used to make a Lure Ball.	蓝色的球果。 略有一股青草的香味。
460	yellow-apricorn	黄球果	Yellow Apricorn	Apricorn box	200	Used to make a Moon Ball.	黄色的球果。 有种清爽的香味。
461	green-apricorn	绿球果	Green Apricorn	Apricorn box	200	Used to make a Friend Ball.	绿色的球果。 有种焦香的香味，非常神奇。
462	pink-apricorn	粉球果	Pink Apricorn	Apricorn box	200	Used to make a Love Ball.	粉红色的球果。 有种甜甜的，好闻的香味。
463	white-apricorn	白球果	White Apricorn	Apricorn box	200	Used to make a Fast Ball.	白色的球果。 没有任何气味。
464	black-apricorn	黑球果	Black Apricorn	Apricorn box	200	Used to make a Heavy Ball.	黑色的球果。 有种无法形容的气味。
465	dowsing-machine	探宝器	Dowsing Machine	Gameplay	0	Use to find hidden items on the field. AKA Itemfinder.	会对看不见的道具起反应， 并将它的位置告诉你的最尖端机器。 戴在头上使用。
466	rage-candy-bar	愤怒馒头	Rage Candy Bar	Gameplay	350	HS: Traded for TM64. Gen II & Gen V: Acts as a Potion.	卡吉镇特产的馒头。 能治愈１只宝可梦的 所有异常状态。
467	red-orb	朱红色宝珠	Red Orb	Plot advancement	0	Summons Groudon to the Embedded Tower.	散发着红色光辉的宝珠。 据说和丰缘地区的传说渊源颇深。
468	blue-orb	靛蓝色宝珠	Blue Orb	Plot advancement	0	Summons Kyogre to the Embedded Tower.	散发着蓝色光辉的宝珠。 据说和丰缘地区的传说渊源颇深。
469	jade-orb	草绿色宝珠	Jade Orb	Plot advancement	0	Summons Rayquaza to the Embedded Tower.	散发着绿色光辉的宝珠。 据说和丰缘地区的传说渊源颇深。
470	enigma-stone	谜之水晶	Enigma Stone	Event items	0	S: Summons Latias H: Summons Latios.	从地下挖出的水晶球。 虽然表面覆盖着岩石和尘土， 但非常漂亮。
471	unown-report	未知图腾笔记	Unown Report	Gameplay	0	Keeps track of Unown types caught.	记录着已找到的 未知图腾样子的笔记本。
472	blue-card	蓝卡	Blue Card	Gameplay	0	Keeps track of points from Buena’s show.	可以将《葵妍的密语》 这节目的点数积攒起来的卡片。
473	slowpoke-tail	美味尾巴	Slowpoke Tail	Unused	0	A tasty tail that sells for a high price.	非常美味的某种尾巴。 可以在商店高价出售。
474	clear-bell	透明铃铛	Clear Bell	Plot advancement	0	HS: Allows Kimono-girls to summon Ho-oh. C: Summons Suicune to the Tin Tower.	能发出静心宁神音色的， 非常古旧的铃铛。
475	card-key	钥匙卡	Card Key	Plot advancement	0	HS: Opens doors in the Radio Tower. Gen III: Unlocks Silph Co Doors.	用来打开电台卷帘门的 卡片式钥匙。
476	basement-key	地下钥匙	Basement Key	Plot advancement	0	HS: Key to the tunnel under Goldenrod City. Gen III: Key to New Mauville.	用来打开满金地道 大门的钥匙。
477	red-scale	红色鳞片	Red Scale	Plot advancement	0	Trade to Mr. Pokémon for an Exp. Share.	在愤怒之湖里出现的 红色暴鲤龙的鳞片。 散发着像火一样的红色光芒。
478	lost-item	遗失物	Lost Item	Plot advancement	0	A Poké Doll lost by the Copycat who lives in Saffron City. Trade for a Pass.	模仿少女丢失的 魔尼尼人偶。
479	pass	磁浮列车自由票	Pass	Plot advancement	0	Grants access to ride the Magnet Train between Goldenrod City and Saffron City.	乘坐磁浮列车时所需的车票。 可以随时自由乘坐。
480	machine-part	机械零件	Machine Part	Plot advancement	0	Must be replaced in the Power Plant to power the Magnet Train.	发电厂里被盗的， 用于发电机的重要零件。
481	silver-wing	银色之羽	Silver Wing	Plot advancement	0	Summons Lugia to the Whirl Islands.	散发着银色光辉的 神奇羽毛。
482	rainbow-wing	虹色之羽	Rainbow Wing	Plot advancement	0	Summons Ho-Oh at the top of the Bell Tower.	散发着虹色光辉的 神奇羽毛。
483	mystery-egg	神奇蛋	Mystery Egg	Plot advancement	0	Deliver to Professor Elm.	从宝可梦爷爷那里得到的 有着神奇花纹的蛋。 不知道是什么的蛋。
484	gb-sounds	ＧＢ播放器	GB Sounds	Gameplay	0	Use to listen to GameBoy era audio.	可以听到怀旧歌曲的音乐播放器。 可用一个开关切换歌曲。
485	tidal-bell	海声铃铛	Tidal Bell	Plot advancement	0	Allows Kimono-girls to summon Lugia.	能发出静心宁神音色的， 非常古旧的铃铛。
486	data-card-01	数据卡０１	Data Card 01	Data cards	0	Records the number of times the trainer has come in first place overall in the Pokéathlon.	ー ー ー
487	data-card-02	数据卡０２	Data Card 02	Data cards	0	Records the number of times the trainer has come in last place overall in the Pokéathlon.	ー ー ー
488	data-card-03	数据卡０３	Data Card 03	Data cards	0	Records the number of times the trainer’s Pokémon have dashed in the Pokéathlon.	ー ー ー
489	data-card-04	数据卡０４	Data Card 04	Data cards	0	Records the number of times the trainer’s Pokémon have jumped in the Pokéathlon.	ー ー ー
490	data-card-05	数据卡０５	Data Card 05	Data cards	0	Records the number of times the trainer has come in first in the Pokéathlon Hurdle Dash.	ー ー ー
491	data-card-06	数据卡０６	Data Card 06	Data cards	0	Records the number of times the trainer has come in first in the Pokéathlon Relay Run.	ー ー ー
492	data-card-07	数据卡０７	Data Card 07	Data cards	0	Records the number of times the trainer has come in first in the Pokéathlon Pennant Capture.	ー ー ー
493	data-card-08	数据卡０８	Data Card 08	Data cards	0	Records the number of times the trainer has come in first in the Pokéathlon Block Smash.	ー ー ー
494	data-card-09	数据卡０９	Data Card 09	Data cards	0	Records the number of times the trainer has come in first in the Pokéathlon Disc Catch.	ー ー ー
495	data-card-10	数据卡１０	Data Card 10	Data cards	0	Records the number of times the trainer has come in first in the Pokéathlon Snow Throw.	ー ー ー
496	data-card-11	数据卡１１	Data Card 11	Data cards	0	Records the number of points the trainer has earned in the Pokéathlon.	ー ー ー
497	data-card-12	数据卡１２	Data Card 12	Data cards	0	Records the number of times the trainer’s Pokémon have messed up in the Pokéathlon.	ー ー ー
498	data-card-13	数据卡１３	Data Card 13	Data cards	0	Records the number of times the trainer’s Pokémon have defeated themselves in the Pokéathlon.	ー ー ー
499	data-card-14	数据卡１４	Data Card 14	Data cards	0	Records the number of times the trainer’s Pokémon have tackled in the Pokéathlon.	ー ー ー
500	data-card-15	数据卡１５	Data Card 15	Data cards	0	Records the number of times the trainer’s Pokémon have fallen in the Pokéathlon.	ー ー ー
501	data-card-16	数据卡１６	Data Card 16	Data cards	0	Records the number of times the trainer has come in first in the Pokéathlon Ring Drop.	ー ー ー
502	data-card-17	数据卡１７	Data Card 17	Data cards	0	Records the number of times the trainer has come in first in the Pokéathlon Lamp Jump.	ー ー ー
503	data-card-18	数据卡１８	Data Card 18	Data cards	0	Records the number of times the trainer has come in first in the Pokéathlon Circle Push.	ー ー ー
504	data-card-19	数据卡１９	Data Card 19	Data cards	0	Records the number of times the trainer has come in first place overall in the Pokéathlon over wirelss.	ー ー ー
505	data-card-20	数据卡２０	Data Card 20	Data cards	0	Records the number of times the trainer has come in last place overall in the Pokéathlon over wireless.	ー ー ー
506	data-card-21	数据卡２１	Data Card 21	Data cards	0	Records the number of times the trainer has come in first across all Pokéathlon events.	ー ー ー
507	data-card-22	数据卡２２	Data Card 22	Data cards	0	Records the number of times the trainer has come in last across all Pokéathlon events.	ー ー ー
508	data-card-23	数据卡２３	Data Card 23	Data cards	0	Records the number of times the trainer has switched Pokémon in the Pokéathlon.	ー ー ー
509	data-card-24	数据卡２４	Data Card 24	Data cards	0	Records the number of times the trainer has come in first in the Pokéathlon Goal Roll.	ー ー ー
510	data-card-25	数据卡２５	Data Card 25	Data cards	0	Records the number of times the trainer’s Pokémon received prizes in the Pokéathlon.	ー ー ー
511	data-card-26	数据卡２６	Data Card 26	Data cards	0	Records the number of times the trainer has instructed Pokémon in the Pokéathlon.	ー ー ー
512	data-card-27	数据卡２７	Data Card 27	Data cards	0	Records the total time spent in the Pokéathlon.	ー ー ー
513	lock-capsule	上锁的容器	Lock Capsule	Unused	0	Contains TM95 (Snarl).	需用特殊钥匙打开的 坚固的容器。
